parent	child
R-HSA-109581	R-HSA-109606
R-HSA-109581	R-HSA-169911
R-HSA-109581	R-HSA-5357769
R-HSA-109581	R-HSA-75153
R-HSA-109582	R-HSA-140877
R-HSA-109582	R-HSA-202733
R-HSA-109582	R-HSA-418346
R-HSA-109582	R-HSA-75205
R-HSA-109582	R-HSA-75892
R-HSA-109582	R-HSA-76002
R-HSA-109582	R-HSA-983231
R-HSA-109606	R-HSA-111452
R-HSA-109606	R-HSA-111453
R-HSA-109606	R-HSA-111471
R-HSA-109606	R-HSA-114294
R-HSA-109606	R-HSA-114452
R-HSA-109606	R-HSA-75108
R-HSA-109703	R-HSA-165160
R-HSA-109704	R-HSA-109703
R-HSA-109704	R-HSA-165158
R-HSA-110313	R-HSA-110312
R-HSA-110313	R-HSA-110320
R-HSA-110313	R-HSA-5655862
R-HSA-110313	R-HSA-5656121
R-HSA-110313	R-HSA-5656169
R-HSA-110373	R-HSA-110362
R-HSA-110373	R-HSA-5651801
R-HSA-110381	R-HSA-73930
R-HSA-111458	R-HSA-9627069
R-HSA-111461	R-HSA-111458
R-HSA-111461	R-HSA-111459
R-HSA-111465	R-HSA-264870
R-HSA-111465	R-HSA-351906
R-HSA-111465	R-HSA-352238
R-HSA-111469	R-HSA-111463
R-HSA-111469	R-HSA-111464
R-HSA-111471	R-HSA-111457
R-HSA-111471	R-HSA-111461
R-HSA-111471	R-HSA-111469
R-HSA-111885	R-HSA-112040
R-HSA-111885	R-HSA-180024
R-HSA-111885	R-HSA-202040
R-HSA-111931	R-HSA-163615
R-HSA-111933	R-HSA-111931
R-HSA-111933	R-HSA-111932
R-HSA-111933	R-HSA-111957
R-HSA-111996	R-HSA-111995
R-HSA-111996	R-HSA-111997
R-HSA-111997	R-HSA-111933
R-HSA-112040	R-HSA-112043
R-HSA-112040	R-HSA-170660
R-HSA-112040	R-HSA-170670
R-HSA-112043	R-HSA-111996
R-HSA-112307	R-HSA-112303
R-HSA-112310	R-HSA-181429
R-HSA-112310	R-HSA-181430
R-HSA-112310	R-HSA-210500
R-HSA-112310	R-HSA-212676
R-HSA-112310	R-HSA-264642
R-HSA-112310	R-HSA-888590
