	input	translation
1323	A0A075B6P5	R-HSA-166663
1324	A0A075B6P5	R-HSA-173623
1325	A0A075B6P5	R-HSA-198933
1326	A0A075B6P5	R-HSA-202733
1327	A0A075B6P5	R-HSA-2029481
1328	A0A075B6P5	R-HSA-2029481
1329	A0A075B6P5	R-HSA-2029482
1330	A0A075B6P5	R-HSA-2029485
1331	A0A075B6P5	R-HSA-2168880
1332	A0A075B6P5	R-HSA-2454202
1333	A0A075B6P5	R-HSA-2454202
1334	A0A075B6P5	R-HSA-2730905
1335	A0A075B6P5	R-HSA-2730905
1336	A0A075B6P5	R-HSA-2871796
1337	A0A075B6P5	R-HSA-2871809
1338	A0A075B6P5	R-HSA-2871809
1339	A0A075B6P5	R-HSA-2871837
1340	A0A075B6P5	R-HSA-5690714
1341	A0A075B6P5	R-HSA-9664323
1342	A0A075B6P5	R-HSA-9664323
1343	A0A075B6P5	R-HSA-9664422
1344	A0A075B6P5	R-HSA-9664422
1345	A0A075B6P5	R-HSA-9679191
1346	A0A075B6P5	R-HSA-977606
1347	A0A075B6P5	R-HSA-983695
1348	A0A075B6P5	R-HSA-983695
1349	A0A075B6S6	R-HSA-166663
1350	A0A075B6S6	R-HSA-173623
1351	A0A075B6S6	R-HSA-198933
1352	A0A075B6S6	R-HSA-202733
1353	A0A075B6S6	R-HSA-2029481
1354	A0A075B6S6	R-HSA-2029481
1355	A0A075B6S6	R-HSA-2029482
1356	A0A075B6S6	R-HSA-2029485
1357	A0A075B6S6	R-HSA-2168880
1358	A0A075B6S6	R-HSA-2454202
1359	A0A075B6S6	R-HSA-2454202
1360	A0A075B6S6	R-HSA-2730905
1361	A0A075B6S6	R-HSA-2730905
1362	A0A075B6S6	R-HSA-2871796
1363	A0A075B6S6	R-HSA-2871809
1364	A0A075B6S6	R-HSA-2871809
1365	A0A075B6S6	R-HSA-2871837
1366	A0A075B6S6	R-HSA-5690714
1367	A0A075B6S6	R-HSA-9664323
1368	A0A075B6S6	R-HSA-9664323
1369	A0A075B6S6	R-HSA-9664422
1370	A0A075B6S6	R-HSA-9664422
1371	A0A075B6S6	R-HSA-9679191
1372	A0A075B6S6	R-HSA-977606
1373	A0A075B6S6	R-HSA-983695
1374	A0A075B6S6	R-HSA-983695
1420	A0A096LP49	R-HSA-9013106
1709	A0A0A6YYK7	R-HSA-198933
1710	A0A0A6YYK7	R-HSA-202424
1711	A0A0A6YYK7	R-HSA-202427
1712	A0A0A6YYK7	R-HSA-202430
1713	A0A0A6YYK7	R-HSA-202433
1714	A0A0A6YYK7	R-HSA-389948
2246	A0A0C4DH25	R-HSA-166663
2247	A0A0C4DH25	R-HSA-173623
2248	A0A0C4DH25	R-HSA-198933
2249	A0A0C4DH25	R-HSA-202733
2250	A0A0C4DH25	R-HSA-2029481
2251	A0A0C4DH25	R-HSA-2029481
2252	A0A0C4DH25	R-HSA-2029482
2253	A0A0C4DH25	R-HSA-2029485
2254	A0A0C4DH25	R-HSA-2168880
2255	A0A0C4DH25	R-HSA-2454202
2256	A0A0C4DH25	R-HSA-2454202
2257	A0A0C4DH25	R-HSA-2730905
2258	A0A0C4DH25	R-HSA-2730905
2259	A0A0C4DH25	R-HSA-2871796
2260	A0A0C4DH25	R-HSA-2871809
2261	A0A0C4DH25	R-HSA-2871809
2262	A0A0C4DH25	R-HSA-2871837
2263	A0A0C4DH25	R-HSA-5690714
2264	A0A0C4DH25	R-HSA-9664323
2265	A0A0C4DH25	R-HSA-9664323
2266	A0A0C4DH25	R-HSA-9664422
2267	A0A0C4DH25	R-HSA-9664422
2268	A0A0C4DH25	R-HSA-9679191
2269	A0A0C4DH25	R-HSA-977606
2270	A0A0C4DH25	R-HSA-983695
2271	A0A0C4DH25	R-HSA-983695
2272	A0A0C4DH73	R-HSA-166663
2273	A0A0C4DH73	R-HSA-173623
2274	A0A0C4DH73	R-HSA-198933
2275	A0A0C4DH73	R-HSA-202733
2276	A0A0C4DH73	R-HSA-2029481
2277	A0A0C4DH73	R-HSA-2029481
2278	A0A0C4DH73	R-HSA-2029482
2279	A0A0C4DH73	R-HSA-2029485
2280	A0A0C4DH73	R-HSA-2168880
2281	A0A0C4DH73	R-HSA-2454202
2282	A0A0C4DH73	R-HSA-2454202
2283	A0A0C4DH73	R-HSA-2730905
2284	A0A0C4DH73	R-HSA-2730905
2285	A0A0C4DH73	R-HSA-2871796
2286	A0A0C4DH73	R-HSA-2871809
2287	A0A0C4DH73	R-HSA-2871809
2288	A0A0C4DH73	R-HSA-2871837
2289	A0A0C4DH73	R-HSA-5690714
2290	A0A0C4DH73	R-HSA-9664323
2291	A0A0C4DH73	R-HSA-9664323
2292	A0A0C4DH73	R-HSA-9664422
2293	A0A0C4DH73	R-HSA-9664422
2294	A0A0C4DH73	R-HSA-9679191
2295	A0A0C4DH73	R-HSA-977606
2296	A0A0C4DH73	R-HSA-983695
2297	A0A0C4DH73	R-HSA-983695
7919	A0A183	R-HSA-6809371
60785	A0AVF1	R-HSA-5620924
60786	A0AVF1	R-HSA-5620924
60787	A0AVI4	R-HSA-8866654
60788	A0AVK6	R-HSA-6804116
60789	A0AVT1	R-HSA-8866652
60790	A0AVT1	R-HSA-8866652
60791	A0AVT1	R-HSA-983168
60795	A0FGR8	R-HSA-1660662
60796	A0FGR9	R-HSA-1660662
60809	A0JLT2	R-HSA-1989781
60810	A0JLT2	R-HSA-381340
60811	A0JLT2	R-HSA-381340
61024	A0JNW5	R-HSA-9696270
61043	A0M8Q6	R-HSA-166663
61044	A0M8Q6	R-HSA-173623
61045	A0M8Q6	R-HSA-198933
61046	A0M8Q6	R-HSA-202733
61047	A0M8Q6	R-HSA-2029481
61048	A0M8Q6	R-HSA-2029481
61049	A0M8Q6	R-HSA-2029482
61050	A0M8Q6	R-HSA-2029485
61051	A0M8Q6	R-HSA-2168880
61052	A0M8Q6	R-HSA-2454202
61053	A0M8Q6	R-HSA-2454202
61054	A0M8Q6	R-HSA-2730905
61055	A0M8Q6	R-HSA-2730905
61056	A0M8Q6	R-HSA-2871796
61057	A0M8Q6	R-HSA-2871809
61058	A0M8Q6	R-HSA-2871809
61059	A0M8Q6	R-HSA-2871837
61060	A0M8Q6	R-HSA-5690714
61061	A0M8Q6	R-HSA-9664323
61062	A0M8Q6	R-HSA-9664323
61063	A0M8Q6	R-HSA-9664422
61064	A0M8Q6	R-HSA-9664422
61065	A0M8Q6	R-HSA-9679191
61066	A0M8Q6	R-HSA-977606
61067	A0M8Q6	R-HSA-983695
61068	A0M8Q6	R-HSA-983695
61128	A0MZ66	R-HSA-437239
61136	A0PJK1	R-HSA-189200
61233	A1A4S6	R-HSA-211728
61234	A1A4S6	R-HSA-8980692
61235	A1A4S6	R-HSA-9013148
61236	A1A4S6	R-HSA-9013149
61238	A1A580	R-HSA-6805567
61239	A1A5B4	R-HSA-2672351
61329	A1E959	R-HSA-977225
61340	A1IGU5	R-HSA-193648
61341	A1IGU5	R-HSA-416482
61371	A1L190	R-HSA-1221632
61478	A1L390	R-HSA-8980692
61479	A1L390	R-HSA-9013148
61480	A1L390	R-HSA-9013149
61481	A1L390	R-HSA-9013406
61482	A1L390	R-HSA-9013408
61484	A1L3X0	R-HSA-75876
