,source,target,source name,target name,value,type,source layer,target layer
0,1,497,A0M8Q6,R-HSA-166663,0.0,0,0,1
1,1,497,A0M8Q6,R-HSA-166663,0.0,1,0,1
2,1,954,A0M8Q6,R-HSA-198933,0.0,0,0,1
3,1,954,A0M8Q6,R-HSA-198933,0.0,1,0,1
4,1,539,A0M8Q6,R-HSA-2029481,0.0,0,0,1
5,1,539,A0M8Q6,R-HSA-2029481,0.0,1,0,1
6,1,540,A0M8Q6,R-HSA-2029482,0.0,0,0,1
7,1,540,A0M8Q6,R-HSA-2029482,0.0,1,0,1
8,1,541,A0M8Q6,R-HSA-2029485,0.0,0,0,1
9,1,541,A0M8Q6,R-HSA-2029485,0.0,1,0,1
10,1,976,A0M8Q6,R-HSA-2168880,0.0,0,0,1
11,1,976,A0M8Q6,R-HSA-2168880,0.0,1,0,1
12,1,577,A0M8Q6,R-HSA-2730905,0.0,0,0,1
13,1,577,A0M8Q6,R-HSA-2730905,0.0,1,0,1
14,1,578,A0M8Q6,R-HSA-2871796,0.0,0,0,1
15,1,578,A0M8Q6,R-HSA-2871796,0.0,1,0,1
16,1,579,A0M8Q6,R-HSA-2871809,0.0,0,0,1
17,1,579,A0M8Q6,R-HSA-2871809,0.0,1,0,1
18,1,580,A0M8Q6,R-HSA-2871837,0.0,0,0,1
19,1,580,A0M8Q6,R-HSA-2871837,0.0,1,0,1
20,1,721,A0M8Q6,R-HSA-5690714,0.0,0,0,1
21,1,721,A0M8Q6,R-HSA-5690714,0.0,1,0,1
22,1,861,A0M8Q6,R-HSA-9664407,0.0,0,0,1
23,1,861,A0M8Q6,R-HSA-9664407,0.0,1,0,1
24,1,863,A0M8Q6,R-HSA-9664433,0.0,0,0,1
25,1,863,A0M8Q6,R-HSA-9664433,0.0,1,0,1
26,1,873,A0M8Q6,R-HSA-9679191,0.0,0,0,1
27,1,873,A0M8Q6,R-HSA-9679191,0.0,1,0,1
28,1,888,A0M8Q6,R-HSA-977606,0.0,0,0,1
29,1,888,A0M8Q6,R-HSA-977606,0.0,1,0,1
30,1,892,A0M8Q6,R-HSA-983695,0.0,0,0,1
31,1,892,A0M8Q6,R-HSA-983695,0.0,1,0,1
32,2,453,O00194,R-HSA-114608,0.0,0,0,1
33,2,453,O00194,R-HSA-114608,0.0,1,0,1
34,2,1120,O00194,R-HSA-8873719,0.0,0,0,1
35,2,1120,O00194,R-HSA-8873719,0.0,1,0,1
36,2,798,O00194,R-HSA-8876198,0.0,0,0,1
37,2,798,O00194,R-HSA-8876198,0.0,1,0,1
38,3,453,O00391,R-HSA-114608,0.00019117707161058205,0,0,1
39,3,453,O00391,R-HSA-114608,0.00011802694498328493,1,0,1
40,3,1227,O00391,R-HSA-381426,0.00019117707161058205,0,0,1
41,3,1227,O00391,R-HSA-381426,0.00011802694498328493,1,0,1
42,3,1085,O00391,R-HSA-6798695,0.00019117707161058205,0,0,1
43,3,1085,O00391,R-HSA-6798695,0.00011802694498328493,1,0,1
44,3,1128,O00391,R-HSA-8957275,0.00019117707161058205,0,0,1
45,3,1128,O00391,R-HSA-8957275,0.00011802694498328493,1,0,1
46,4,521,O14786,R-HSA-194306,0.01800249354673724,0,0,1
47,4,521,O14786,R-HSA-194306,0.022308839866900597,1,0,1
48,4,612,O14786,R-HSA-373755,0.01800249354673724,0,0,1
49,4,612,O14786,R-HSA-373755,0.022308839866900597,1,0,1
50,4,613,O14786,R-HSA-373760,0.01800249354673724,0,0,1
51,4,613,O14786,R-HSA-373760,0.022308839866900597,1,0,1
52,4,615,O14786,R-HSA-376176,0.01800249354673724,0,0,1
53,4,615,O14786,R-HSA-376176,0.022308839866900597,1,0,1
54,4,875,O14786,R-HSA-9694516,0.01800249354673724,0,0,1
55,4,875,O14786,R-HSA-9694516,0.022308839866900597,1,0,1
56,5,976,O14791,R-HSA-2168880,0.002228944725356996,0,0,1
57,5,976,O14791,R-HSA-2168880,0.002896078786579892,1,0,1
58,5,1227,O14791,R-HSA-381426,0.002228944725356996,0,0,1
59,5,1227,O14791,R-HSA-381426,0.002896078786579892,1,0,1
60,5,1128,O14791,R-HSA-8957275,0.002228944725356996,0,0,1
61,5,1128,O14791,R-HSA-8957275,0.002896078786579892,1,0,1
62,6,523,O15145,R-HSA-195258,0.0,0,0,1
63,6,523,O15145,R-HSA-195258,0.0,1,0,1
64,6,540,O15145,R-HSA-2029482,0.0,0,0,1
65,6,540,O15145,R-HSA-2029482,0.0,1,0,1
66,6,576,O15145,R-HSA-2682334,0.0,0,0,1
67,6,576,O15145,R-HSA-2682334,0.0,1,0,1
68,6,861,O15145,R-HSA-9664407,0.0,0,0,1
69,6,861,O15145,R-HSA-9664407,0.0,1,0,1
70,7,453,O43707,R-HSA-114608,0.0005877103816601448,0,0,1
71,7,453,O43707,R-HSA-114608,0.00027667650865623725,1,0,1
72,7,1225,O43707,R-HSA-373753,0.0005877103816601448,0,0,1
